Model,Attacker,MeanValDCorr,SEValDCorr,ValAccuracy
mnist_05noise_005nopeek_epoch=04,mnist_attacker_model<mnist_05noise_005nopeek>.ckpt,0.9120000004768372,0.002,94.70000267028809
mnist_05noise_025nopeek_epoch=09,mnist_attacker_model<mnist_05noise_025nopeek>.ckpt,0.781000018119812,0.005,96.61999940872192
mnist_10noise_00nopeek_epoch=08,mnist_attacker_model<mnist_10noise_00nopeek.ckpt,0.9279999732971191,0.001,95.13999819755554
mnist_02noise_05nopeek_epoch=06,mnist_attacker_model<mnist_02noise_05nopeek>.ckpt,0.7609999775886536,0.005,96.48000001907349
mnist_01noise_00nopeek_epoch=06,mnist_attacker_model<mnist_01noise_00nopeek.ckpt,0.9449999928474426,0.001,95.77999711036682
mnist_05noise_00nopeek_epoch=08,mnist_attacker_model<mnist_05noise_00nopeek.ckpt,0.9390000104904175,0.001,95.74000239372253
mnist_00noise_00nopeek_epoch=06,mnist_attacker_model<mnist_00noise_00nopeek>_set10noise.ckpt,0.9459999799728394,0.001,95.62000036239624
mnist_01noise_05nopeek_epoch=09,mnist_attacker_model<mnist_01noise_05nopeek>.ckpt,0.7419999837875366,0.006,97.10000157356262
mnist_05noise_05nopeek_epoch=07,mnist_attacker_model<mnist_05noise_05nopeek>.ckpt,0.7730000019073486,0.005,96.7199981212616
mnist_01noise_01nopeek_epoch=09,mnist_attacker_model<mnist_01noise_01nopeek>.ckpt,0.8410000205039978,0.003,94.88000273704529
mnist_00noise_01nopeek_epoch=09,mnist_attacker_model<mnist_00noise_01nopeek.ckpt,0.828000009059906,0.003,95.20000219345093
mnist_00noise_10nopeek_epoch=09,mnist_attacker_model<mnist_00noise_10nopeek.ckpt,0.7170000076293945,0.007,97.2000002861023
mnist_05noise_01nopeek_epoch=08,mnist_attacker_model<mnist_05noise_01nopeek>.ckpt,0.8539999723434448,0.002,93.27999949455261
mnist_02noise_025nopeek_epoch=08,mnist_attacker_model<mnist_02noise_025nopeek>.ckpt,0.7739999890327454,0.006,96.93999886512756
mnist_00noise_05nopeek_epoch=08,mnist_attacker_model<mnist_00noise_05nopeek.ckpt,0.7480000257492065,0.006,96.66000008583069
mnist_01noise_025nopeek_epoch=06,mnist_attacker_model<mnist_01noise_025nopeek>.ckpt,0.7799999713897705,0.005,95.93999981880188
mnist_02noise_01nopeek_epoch=08,mnist_attacker_model<mnist_02noise_01nopeek>.ckpt,0.8349999785423279,0.003,93.94000172615051
