Model            ,MeanTrainAcc      ,SETrainAcc ,MeanValAcc        ,SEValAcc ,MeanTrainDCorr ,SETrainDCorr ,MeanValDCorr ,SEValDCorr
noise0_peek0.0   ,99.06250238418579 ,           ,97.82000184059143 ,         ,         0.857 ,       0.001 ,       0.848 ,     0.002
noise0_peek0.2   ,99.24749732017517 ,           ,97.78000116348267 ,         ,         0.491 ,       0.001 ,       0.484 ,     0.003
noise0_peek0.5   ,99.03249740600586 ,           ,97.32000231742859 ,         ,         0.438 ,       0.001 ,       0.435 ,     0.003
noise0.1_peek0.0 ,99.13250207901001 ,           ,97.9200005531311  ,         ,         0.857 ,       0.001 ,       0.848 ,     0.002
noise0.1_peek0.2 ,98.99749755859375 ,           ,97.51999974250793 ,         ,         0.491 ,       0.001 ,       0.487 ,     0.003
noise0.2_peek0.0 ,98.8224983215332  ,           ,97.42000102996826 ,         ,         0.86  ,       0.001 ,       0.853 ,     0.002
noise0.2_peek0.2 ,98.9549994468689  ,           ,97.39999771118164 ,         ,         0.496 ,       0.001 ,       0.499 ,     0.004
noise0.2_peek0.5 ,98.95250201225281 ,           ,97.21999764442444 ,         ,         0.439 ,       0.001 ,       0.436 ,     0.003
noise0.5_peek0.0 ,99.02499914169312 ,           ,97.65999913215637 ,         ,         0.849 ,       0.001 ,       0.842 ,     0.002
noise0.5_peek0.2 ,98.71749877929688 ,           ,97.2599983215332  ,         ,         0.523 ,       0.001 ,       0.521 ,     0.003
noise0.5_peek0.5 ,96.78249955177307 ,           ,95.20000219345093 ,         ,         0.547 ,       0.002 ,       0.556 ,     0.006
